2025-02-01 03:27:40:665 180 sec: 144 operations; 1 current ops/sec; est completion in 3 hours 25 minutes [SCAN: Count=10, Max=3047423, Min=94272, Avg=1123657.6, 90=2408447, 99=3047423, 99.9=3047423, 99.99=3047423] 
2025-02-01 03:27:50:665 190 sec: 153 operations; 0.9 current ops/sec; est completion in 3 hours 23 minutes [SCAN: Count=9, Max=2385919, Min=178816, Avg=1278656, 90=2303999, 99=2385919, 99.9=2385919, 99.99=2385919] 
2025-02-01 03:28:00:665 200 sec: 161 operations; 0.8 current ops/sec; est completion in 3 hours 23 minutes [SCAN: Count=8, Max=2422783, Min=122112, Avg=1175364, 90=1911807, 99=2422783, 99.9=2422783, 99.99=2422783] 
2025-02-01 03:28:10:665 210 sec: 167 operations; 0.6 current ops/sec; est completion in 3 hours 26 minutes [SCAN: Count=6, Max=2637823, Min=455424, Avg=1585344, 90=2189311, 99=2637823, 99.9=2637823, 99.99=2637823] 
2025-02-01 03:28:20:665 220 sec: 175 operations; 0.8 current ops/sec; est completion in 3 hours 25 minutes [SCAN: Count=8, Max=2040831, Min=499968, Avg=1310480, 90=1670143, 99=2040831, 99.9=2040831, 99.99=2040831] 
2025-02-01 03:28:30:665 230 sec: 183 operations; 0.8 current ops/sec; est completion in 3 hours 25 minutes [SCAN: Count=8, Max=1733631, Min=406528, Avg=1052672, 90=1575935, 99=1733631, 99.9=1733631, 99.99=1733631] 
2025-02-01 03:28:40:665 240 sec: 188 operations; 0.5 current ops/sec; est completion in 3 hours 28 minutes [SCAN: Count=5, Max=2316287, Min=1438720, Avg=2019430.4, 90=2316287, 99=2316287, 99.9=2316287, 99.99=2316287] 
2025-02-01 03:28:50:665 250 sec: 195 operations; 0.7 current ops/sec; est completion in 3 hours 29 minutes [SCAN: Count=7, Max=2553855, Min=154368, Avg=1634678.86, 90=2332671, 99=2553855, 99.9=2553855, 99.99=2553855] 
2025-02-01 03:29:00:665 260 sec: 201 operations; 0.6 current ops/sec; est completion in 3 hours 31 minutes [SCAN: Count=6, Max=2088959, Min=866816, Avg=1398016, 90=2051071, 99=2088959, 99.9=2088959, 99.99=2088959] 
2025-02-01 03:29:10:665 270 sec: 208 operations; 0.7 current ops/sec; est completion in 3 hours 31 minutes [SCAN: Count=7, Max=2588671, Min=361472, Avg=1609563.43, 90=2162687, 99=2588671, 99.9=2588671, 99.99=2588671] 
2025-02-01 03:29:20:665 280 sec: 216 operations; 0.8 current ops/sec; est completion in 3 hours 31 minutes [SCAN: Count=8, Max=2320383, Min=413440, Avg=1105472, 90=2138111, 99=2320383, 99.9=2320383, 99.99=2320383] 
2025-02-01 03:29:30:665 290 sec: 224 operations; 0.8 current ops/sec; est completion in 3 hours 30 minutes [SCAN: Count=8, Max=2525183, Min=658944, Avg=1408608, 90=2459647, 99=2525183, 99.9=2525183, 99.99=2525183] 
2025-02-01 03:29:40:665 300 sec: 234 operations; 1 current ops/sec; est completion in 3 hours 28 minutes [SCAN: Count=10, Max=2324479, Min=4284, Avg=1056407, 90=2195455, 99=2324479, 99.9=2324479, 99.99=2324479] 
2025-02-01 03:29:50:665 310 sec: 242 operations; 0.8 current ops/sec; est completion in 3 hours 28 minutes [SCAN: Count=8, Max=1868799, Min=76544, Avg=1194676, 90=1864703, 99=1868799, 99.9=1868799, 99.99=1868799] 
2025-02-01 03:30:00:665 320 sec: 251 operations; 0.9 current ops/sec; est completion in 3 hours 27 minutes [SCAN: Count=9, Max=2338815, Min=116160, Avg=1126424.89, 90=1821695, 99=2338815, 99.9=2338815, 99.99=2338815] 
2025-02-01 03:30:10:665 330 sec: 260 operations; 0.9 current ops/sec; est completion in 3 hours 26 minutes [SCAN: Count=9, Max=2059263, Min=482816, Avg=1129941.33, 90=1938431, 99=2059263, 99.9=2059263, 99.99=2059263] 
