2025-02-01 02:40:38:537 180 sec: 136 operations; 0.9 current ops/sec; est completion in 3 hours 37 minutes [SCAN: Count=9, Max=2234367, Min=8712, Avg=1086257.33, 90=2224127, 99=2234367, 99.9=2234367, 99.99=2234367] 
2025-02-01 02:40:48:537 190 sec: 142 operations; 0.6 current ops/sec; est completion in 3 hours 39 minutes [SCAN: Count=6, Max=2598911, Min=567296, Avg=1599530.67, 90=2027519, 99=2598911, 99.9=2598911, 99.99=2598911] 
2025-02-01 02:40:58:537 200 sec: 155 operations; 1.3 current ops/sec; est completion in 3 hours 31 minutes [SCAN: Count=13, Max=2779135, Min=10824, Avg=872349.23, 90=2034687, 99=2779135, 99.9=2779135, 99.99=2779135] 
2025-02-01 02:41:08:537 210 sec: 167 operations; 1.2 current ops/sec; est completion in 3 hours 26 minutes [SCAN: Count=12, Max=2258943, Min=7940, Avg=730681.5, 90=1777663, 99=2258943, 99.9=2258943, 99.99=2258943] 
2025-02-01 02:41:18:537 220 sec: 176 operations; 0.9 current ops/sec; est completion in 3 hours 24 minutes [SCAN: Count=9, Max=2426879, Min=17328, Avg=1129677.33, 90=2043903, 99=2426879, 99.9=2426879, 99.99=2426879] 
2025-02-01 02:41:28:537 230 sec: 190 operations; 1.4 current ops/sec; est completion in 3 hours 17 minutes [SCAN: Count=14, Max=1745919, Min=2788, Avg=752352.07, 90=1567743, 99=1745919, 99.9=1745919, 99.99=1745919] 
2025-02-01 02:41:38:537 240 sec: 198 operations; 0.8 current ops/sec; est completion in 3 hours 18 minutes [SCAN: Count=8, Max=2357247, Min=123968, Avg=1314636, 90=2310143, 99=2357247, 99.9=2357247, 99.99=2357247] 
2025-02-01 02:41:48:537 250 sec: 213 operations; 1.5 current ops/sec; est completion in 3 hours 11 minutes [SCAN: Count=15, Max=1399807, Min=1987, Avg=687442.07, 90=1362943, 99=1399807, 99.9=1399807, 99.99=1399807] 
2025-02-01 02:41:58:537 260 sec: 222 operations; 0.9 current ops/sec; est completion in 3 hours 10 minutes [SCAN: Count=9, Max=2605055, Min=255744, Avg=1111701.33, 90=2441215, 99=2605055, 99.9=2605055, 99.99=2605055] 
2025-02-01 02:42:08:537 270 sec: 231 operations; 0.9 current ops/sec; est completion in 3 hours 10 minutes [SCAN: Count=9, Max=1926143, Min=20032, Avg=1028544.89, 90=1893375, 99=1926143, 99.9=1926143, 99.99=1926143] 
2025-02-01 02:42:18:537 280 sec: 237 operations; 0.6 current ops/sec; est completion in 3 hours 12 minutes [SCAN: Count=6, Max=2670591, Min=1010176, Avg=1739904, 90=1858559, 99=2670591, 99.9=2670591, 99.99=2670591] 
2025-02-01 02:42:28:537 290 sec: 247 operations; 1 current ops/sec; est completion in 3 hours 10 minutes [SCAN: Count=10, Max=1728511, Min=20352, Avg=925988.8, 90=1698815, 99=1728511, 99.9=1728511, 99.99=1728511] 
2025-02-01 02:42:38:537 300 sec: 256 operations; 0.9 current ops/sec; est completion in 3 hours 10 minutes [SCAN: Count=9, Max=2566143, Min=13112, Avg=1072816.44, 90=2508799, 99=2566143, 99.9=2566143, 99.99=2566143] 
2025-02-01 02:42:48:537 310 sec: 265 operations; 0.9 current ops/sec; est completion in 3 hours 9 minutes [SCAN: Count=9, Max=2502655, Min=8224, Avg=1162528.44, 90=2085887, 99=2502655, 99.9=2502655, 99.99=2502655] 
2025-02-01 02:42:58:537 320 sec: 270 operations; 0.5 current ops/sec; est completion in 3 hours 12 minutes [SCAN: Count=5, Max=2594815, Min=1161216, Avg=1995264, 90=2594815, 99=2594815, 99.9=2594815, 99.99=2594815] 
2025-02-01 02:43:08:537 330 sec: 284 operations; 1.4 current ops/sec; est completion in 3 hours 8 minutes [SCAN: Count=14, Max=2179071, Min=1931, Avg=755521.07, 90=1630207, 99=2179071, 99.9=2179071, 99.99=2179071] 
2025-02-01 02:43:18:537 340 sec: 293 operations; 0.9 current ops/sec; est completion in 3 hours 7 minutes [SCAN: Count=9, Max=2543615, Min=93312, Avg=1055648, 90=2402303, 99=2543615, 99.9=2543615, 99.99=2543615] 
