2025-02-04 19:05:56:287 190 sec: 3747 operations; 21.1 current ops/sec; est completion in 23 days 11 hours [READ: Count=211, Max=118143, Min=1290, Avg=47381.33, 90=80383, 99=106623, 99.9=118143, 99.99=118143] 
2025-02-04 19:06:06:287 200 sec: 3794 operations; 4.7 current ops/sec; est completion in 24 days 9 hours [READ: Count=47, Max=4952063, Min=1238, Avg=154048.68, 90=72383, 99=4952063, 99.9=4952063, 99.99=4952063] 
2025-02-04 19:06:16:287 210 sec: 3797 operations; 0.3 current ops/sec; est completion in 25 days 14 hours [READ: Count=3, Max=6565887, Min=2205696, Avg=4005888, 90=6565887, 99=6565887, 99.9=6565887, 99.99=6565887] 
2025-02-04 19:06:26:287 220 sec: 3802 operations; 0.5 current ops/sec; est completion in 26 days 18 hours [READ: Count=5, Max=3448831, Min=4460, Avg=1296672, 90=3448831, 99=3448831, 99.9=3448831, 99.99=3448831] 
2025-02-04 19:06:36:287 230 sec: 3927 operations; 12.5 current ops/sec; est completion in 27 days 2 hours [READ: Count=125, Max=4825087, Min=1317, Avg=114346.42, 90=81407, 99=3723263, 99.9=4825087, 99.99=4825087] 
2025-02-04 19:06:46:287 240 sec: 4158 operations; 23.1 current ops/sec; est completion in 26 days 17 hours [READ: Count=231, Max=113471, Min=1318, Avg=43208.49, 90=78335, 99=107199, 99.9=113471, 99.99=113471] 
2025-02-04 19:06:56:287 250 sec: 4415 operations; 25.7 current ops/sec; est completion in 26 days 5 hours [READ: Count=257, Max=117311, Min=1008, Avg=38915.28, 90=74367, 99=92735, 99.9=117311, 99.99=117311] 
2025-02-04 19:07:06:287 260 sec: 4638 operations; 22.3 current ops/sec; est completion in 25 days 22 hours [READ: Count=223, Max=111807, Min=1299, Avg=44841.52, 90=77247, 99=96639, 99.9=111807, 99.99=111807] 
2025-02-04 19:07:16:287 270 sec: 4905 operations; 26.7 current ops/sec; est completion in 25 days 11 hours [READ: Count=267, Max=113279, Min=1254, Avg=37224.65, 90=75903, 99=94847, 99.9=113279, 99.99=113279] 
2025-02-04 19:07:26:287 280 sec: 5148 operations; 24.3 current ops/sec; est completion in 25 days 4 hours [READ: Count=243, Max=180607, Min=1276, Avg=41318.71, 90=75071, 99=109119, 99.9=180607, 99.99=180607] 
2025-02-04 19:07:36:287 290 sec: 5400 operations; 25.2 current ops/sec; est completion in 24 days 20 hours [READ: Count=252, Max=123391, Min=1187, Avg=39395.4, 90=72127, 99=99071, 99.9=123391, 99.99=123391] 
2025-02-04 19:07:46:288 300 sec: 5668 operations; 26.8 current ops/sec; est completion in 24 days 12 hours [READ: Count=268, Max=101759, Min=1259, Avg=37377.56, 90=76095, 99=95231, 99.9=101759, 99.99=101759] 
2025-02-04 19:07:56:287 310 sec: 5925 operations; 25.7 current ops/sec; est completion in 24 days 5 hours [READ: Count=257, Max=146687, Min=1251, Avg=39059.51, 90=74111, 99=96447, 99.9=146687, 99.99=146687] 
2025-02-04 19:08:06:287 320 sec: 6167 operations; 24.2 current ops/sec; est completion in 24 days [READ: Count=242, Max=135039, Min=1223, Avg=41248.17, 90=73343, 99=106431, 99.9=135039, 99.99=135039] 
2025-02-04 19:08:16:287 330 sec: 6415 operations; 24.8 current ops/sec; est completion in 23 days 19 hours [READ: Count=248, Max=101183, Min=1013, Avg=40290.01, 90=70015, 99=96895, 99.9=101183, 99.99=101183] 
2025-02-04 19:08:26:287 340 sec: 6663 operations; 24.8 current ops/sec; est completion in 23 days 14 hours [READ: Count=248, Max=111039, Min=1258, Avg=40299.78, 90=74559, 99=92095, 99.9=111039, 99.99=111039] 
2025-02-04 19:08:36:287 350 sec: 6906 operations; 24.3 current ops/sec; est completion in 23 days 11 hours [READ: Count=243, Max=113023, Min=1225, Avg=41165.75, 90=74943, 99=107455, 99.9=113023, 99.99=113023] 
2025-02-04 19:08:46:287 360 sec: 7159 operations; 25.3 current ops/sec; est completion in 23 days 6 hours [READ: Count=253, Max=154623, Min=1269, Avg=39362.43, 90=72767, 99=99711, 99.9=154623, 99.99=154623] 
2025-02-04 19:08:56:287 370 sec: 7420 operations; 26.1 current ops/sec; est completion in 23 days 1 hour [READ: Count=261, Max=131071, Min=1237, Avg=38171.49, 90=70207, 99=89535, 99.9=131071, 99.99=131071] 
2025-02-04 19:09:06:287 380 sec: 7692 operations; 27.2 current ops/sec; est completion in 22 days 20 hours [READ: Count=272, Max=128639, Min=1237, Avg=36814.76, 90=73087, 99=97919, 99.9=128639, 99.99=128639] 
2025-02-04 19:09:16:287 390 sec: 7958 operations; 26.6 current ops/sec; est completion in 22 days 16 hours [READ: Count=266, Max=168191, Min=1231, Avg=37724.22, 90=70335, 99=90687, 99.9=168191, 99.99=168191] 
2025-02-04 19:09:26:288 400 sec: 8214 operations; 25.6 current ops/sec; est completion in 22 days 12 hours [READ: Count=256, Max=129023, Min=1116, Avg=39103.64, 90=71551, 99=97791, 99.9=129023, 99.99=129023] 
2025-02-04 19:09:36:288 410 sec: 8495 operations; 28.1 current ops/sec; est completion in 22 days 8 hours [READ: Count=281, Max=123647, Min=1191, Avg=35545.29, 90=68223, 99=86975, 99.9=123647, 99.99=123647] 
